"filename", "language", "Aoe2 AiScript", "comment", "blank", "total"
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Japanese\Loads.per", "Aoe2 AiScript", 18, 4, 5, 27
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Mongols\Loads.per", "Aoe2 AiScript", 46, 2, 15, 63
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Persians\Loads.per", "Aoe2 AiScript", 17, 3, 2, 22
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Saracens\Loads.per", "Aoe2 AiScript", 20, 3, 3, 26
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Common\TSA.per", "Aoe2 AiScript", -2, 0, -1, -3
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Crossbows\Attack-now.per", "Aoe2 AiScript", 26, 0, 2, 28
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Crossbows\Attack.per", "Aoe2 AiScript", 30, 0, 3, 33
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Crossbows\Buildings.per", "Aoe2 AiScript", 198, 16, 38, 252
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Crossbows\Market.per", "Aoe2 AiScript", 58, 1, 11, 70
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Crossbows\Research.per", "Aoe2 AiScript", 768, 27, 126, 921
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Crossbows\Units.per", "Aoe2 AiScript", 187, 3, 28, 218
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Crossbows\Villager Distribution.per", "Aoe2 AiScript", 213, 0, 27, 240
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Persian Steamroll\Buildings.per", "Aoe2 AiScript", 23, 1, 5, 29
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Persian Steamroll\Market.per", "Aoe2 AiScript", 9, 0, 1, 10
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Persian Steamroll\Research.per", "Aoe2 AiScript", 2, 0, 0, 2
"Total", "-", 1613, 60, 265, 1938
