"filename", "language", "Aoe2 AiScript", "comment", "blank", "total"
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Britons\Loads.per", "Aoe2 AiScript", 41, 2, 12, 55
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Britons\Reactions.per", "Aoe2 AiScript", 97, 0, 8, 105
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Byzantines\Loads.per", "Aoe2 AiScript", 59, 2, 14, 75
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Byzantines\Reactions.per", "Aoe2 AiScript", 170, 0, 16, 186
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Celts\Loads.per", "Aoe2 AiScript", 58, 2, 10, 70
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Celts\Reactions.per", "Aoe2 AiScript", 131, 0, 12, 143
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Chinese\Loads.per", "Aoe2 AiScript", 59, 2, 17, 78
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Chinese\Reactions.per", "Aoe2 AiScript", 153, 0, 15, 168
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Franks\Loads.per", "Aoe2 AiScript", 57, 4, 10, 71
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Franks\Reactions.per", "Aoe2 AiScript", 107, 0, 9, 116
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Generic\Loads.per", "Aoe2 AiScript", 11, 0, 3, 14
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Generic\Reaction Buildings.per", "Aoe2 AiScript", 54, 1, 6, 61
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Generic\Reactions.per", "Aoe2 AiScript", 154, 0, 16, 170
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Generic\Reactive Research.per", "Aoe2 AiScript", 274, 2, 35, 311
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Goths\Loads.per", "Aoe2 AiScript", 61, 6, 10, 77
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Goths\Reactions.per", "Aoe2 AiScript", 152, 0, 14, 166
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Japanese\Loads.per", "Aoe2 AiScript", 53, 4, 13, 70
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Japanese\Reactions.per", "Aoe2 AiScript", 142, 0, 13, 155
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Mongols\Loads.per", "Aoe2 AiScript", 58, 2, 15, 75
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Mongols\Reactions.per", "Aoe2 AiScript", 136, 0, 13, 149
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Persians\Loads.per", "Aoe2 AiScript", 50, 3, 5, 58
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Persians\Reactions.per", "Aoe2 AiScript", 97, 0, 8, 105
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Saracens\Loads.per", "Aoe2 AiScript", 53, 4, 9, 66
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Saracens\Reactions.per", "Aoe2 AiScript", 180, 0, 18, 198
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Teutons\Loads.per", "Aoe2 AiScript", 31, 1, 6, 38
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Teutons\Reactions.per", "Aoe2 AiScript", 122, 0, 11, 133
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Turks\Loads.per", "Aoe2 AiScript", 50, 1, 7, 58
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Turks\Reactions.per", "Aoe2 AiScript", 114, 0, 10, 124
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Vikings\Loads.per", "Aoe2 AiScript", 38, 2, 7, 47
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Civs\Vikings\Reactions.per", "Aoe2 AiScript", 152, 0, 14, 166
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Maps\Arabia\Attack.per", "Aoe2 AiScript", 23, 0, 2, 25
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Maps\Arabia\Buildings.per", "Aoe2 AiScript", 164, 13, 34, 211
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Maps\Arabia\Escrow.per", "Aoe2 AiScript", 99, 0, 8, 107
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Maps\Arabia\Expansion.per", "Aoe2 AiScript", 217, 0, 28, 245
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Maps\Arabia\Market.per", "Aoe2 AiScript", 83, 1, 11, 95
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Maps\Arabia\Research.per", "Aoe2 AiScript", 761, 22, 116, 899
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Maps\Arabia\Strategic Numbers.per", "Aoe2 AiScript", 73, 3, 8, 84
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Maps\Arabia\Units.per", "Aoe2 AiScript", 155, 3, 24, 182
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Maps\Arabia\Villager Distribution.per", "Aoe2 AiScript", 287, 1, 34, 322
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Maps\Arabia\Walls.per", "Aoe2 AiScript", 29, 0, 4, 33
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Old Code.per", "Aoe2 AiScript", 5878, 143, 827, 6848
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Resign.per", "Aoe2 AiScript", 10, 0, 1, 11
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Common\Buildings.per", "Aoe2 AiScript", 47, 6, 12, 65
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Common\Expansion.per", "Aoe2 AiScript", 225, 0, 28, 253
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Common\TSA.per", "Aoe2 AiScript", 240, 0, 20, 260
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\Common\Villager Distribution.per", "Aoe2 AiScript", 8, 0, 0, 8
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Crossbows\Attack-now.per", "Aoe2 AiScript", 26, 0, 2, 28
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Crossbows\Attack.per", "Aoe2 AiScript", 30, 0, 3, 33
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Crossbows\Buildings.per", "Aoe2 AiScript", 198, 16, 38, 252
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Crossbows\Market.per", "Aoe2 AiScript", 58, 1, 11, 70
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Crossbows\Research.per", "Aoe2 AiScript", 768, 27, 126, 921
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Crossbows\Units.per", "Aoe2 AiScript", 187, 3, 28, 218
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Crossbows\Villager Distribution.per", "Aoe2 AiScript", 213, 0, 27, 240
"e:\SteamLibrary\steamapps\common\AoE2DE\resources\_common\ai\The King 1.4\Strategies\FC into Infantry\Attack-now.per", "Aoe2 AiScript", 27, 0, 2, 29
